"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Data Anonymization","Anonymize unstructured data such as free text‚ text files‚ and images.","SAP Data Privacy Integration","Technology Platform","Base","Generally Available","Generally Available","J80","","","https://discovery-center.cloud.sap/ai-feature/809faf14-e4ef-47e0-abd4-2b51f7500892/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Deal Intelligence","Predict if an opportunity can be won or lost.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J795","","","https://discovery-center.cloud.sap/ai-feature/57ace435-bf2c-4749-b628-523d40ed2e09/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Deal Sheet Generation","Generate retailer-ready deal sheets from promotion data automatically.","SAP Revenue Growth Management","Customer Relationship Management","Base","Generally Available","Generally Available","J991","","","https://discovery-center.cloud.sap/ai-feature/524d8a65-c0c9-402d-add2-0cc3eb1cccc7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Decision Generation","Assist process design by generating decision artifacts.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J642","","","https://discovery-center.cloud.sap/ai-feature/0517fabc-df67-4042-9015-a57c1a9079ba/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Decision Summarization","Assist users with process automation design by summarizing undocumented rules.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J643","","","https://discovery-center.cloud.sap/ai-feature/d9b9af67-e0a9-49cc-b79b-a8eddde1731b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Declaration Image Analysis","Automatically extract information from declarations of different formats.","SAP Green Token","Supply Chain Management","","Beta","Beta","J173","","","https://discovery-center.cloud.sap/ai-feature/ef9efdef-7300-4580-9c54-5664e1c99f95/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Demand Intake","Natural language queries to route queries to correct intake process.","SAP Ariba Intake Management","Spend Management","Base","Generally Available","Generally Available","J948","","","https://discovery-center.cloud.sap/ai-feature/3e7d54f8-2981-45bf-b528-b432b0d1b855/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Demand Sensing","Create optimized daily forecasts for multiple products based on demand.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J817","","","https://discovery-center.cloud.sap/ai-feature/08b50280-d6f0-4731-ba50-a6faa578f9d8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Depreciation Key Explanation","Explain depreciation types and calculation procedures in natural language.","SAP S/4HANA Cloud Private Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J898","SAP S/4HANA 2025 FPS0","","https://discovery-center.cloud.sap/ai-feature/7f81035d-7177-494f-b232-b1e290c05f0c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Description Enhancement","Generate and enhance textual descriptions for issue resolution.","SAP Digital Manufacturing","Supply Chain Management","Base","Generally Available","Generally Available","J871","","","https://discovery-center.cloud.sap/ai-feature/d49bebec-58ca-4ef7-9201-da88ec0365f8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Development Goal Creation","Build meaningful and inspiring development goals.","SAP SuccessFactors Performance and Goals","Human Capital Management","Premium","Generally Available","Generally Available","J37","","","https://discovery-center.cloud.sap/ai-feature/ef16dd9e-a2db-44df-bb8b-23b16c68bd88/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Document Data Extraction","Extract and process document data from PDFs and images using AI.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J1284","","","https://discovery-center.cloud.sap/ai-feature/577af53b-83ac-4c49-8b02-72114d45ceb6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Document Processing","Extract invoice data from files to automate billing in SAP Self-Billing Cockpit.","SAP Self-Billing Cockpit","Financial Management","Base","Generally Available","Generally Available","J1048","","","https://discovery-center.cloud.sap/ai-feature/70e0fc04-7346-405a-a385-5ad137f11ff3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Document Summary","Summarize content of selected document based on AI capability.","SAP Cloud ALM","Technology Platform","Base","Generally Available","Generally Available","J1394","","","https://discovery-center.cloud.sap/ai-feature/111df0da-5177-4769-88ea-6a200ecae091/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Duplicate Detection","Detect duplicate accounts automatically.","SAP Sales Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J187","","","https://discovery-center.cloud.sap/ai-feature/9de7582d-870d-4802-a4ec-90429c6922a5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Duplicate Detection","Detect duplicate accounts automatically.","SAP Service Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J791","","","https://discovery-center.cloud.sap/ai-feature/fbfe32ee-815b-4543-bab3-fe5376e60d48/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","E-mail Draft Recommender","Generate e-mail drafts based on past interactions via AI.","SAP Enterprise Service Management","Customer Relationship Management","Premium","Generally Available","Generally Available","J21","","","https://discovery-center.cloud.sap/ai-feature/9aa89525-687f-4c69-8849-a107d366679c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","E-mail Draft Recommender","Reduce time to draft responses based on previous interactions.","SAP Sales Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J5","","","https://discovery-center.cloud.sap/ai-feature/92718e8e-da5f-426d-9561-d53b93671e08/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","E-mail Draft Recommender","Produce email drafts using AI based on previous exchanges.","SAP Service Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J9","","","https://discovery-center.cloud.sap/ai-feature/05a916d0-170e-4be2-b60a-a3bc388d383b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Easy Fill","Enables users to populate fields of a business object using natural language.","SAP S/4HANA Cloud Public Edition","Financial Management","","Beta","Beta","J281","","","https://discovery-center.cloud.sap/ai-feature/b054b110-d555-49ef-b233-e16be1a13eed/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Easy Filter","Streamline your filtering experience in SAP Fiori elements-based list reports.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J91","","","https://discovery-center.cloud.sap/ai-feature/96cf54f4-566b-4428-916c-1e6231f0fdb2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Electronic Document Error Handling","Get easy-to-understand explanations for electronic document errors with Joule.","SAP Document and Reporting Compliance","Technology Platform","Base","Generally Available","Generally Available","J1137","","","https://discovery-center.cloud.sap/ai-feature/d755130d-328a-4e41-b5b8-b0f507ee396c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13","Exact logical duplicate of J305 except identifier, source URL, and missing Joule quick-filter metadata."
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Embedded Edition","Automate document processing‚ workflow execution‚ and channel integration.","SAP Document AI","Technology Platform","Premium","Generally Available","Generally Available","J342","","","https://discovery-center.cloud.sap/ai-feature/f9000cc5-4a1a-4c59-9dcd-a343c167d75d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Enhanced Responses to Discovery Posting","Generate accurate responses to buyers’ request for information.","SAP Business Network for Procurement and Supply Chain","Supply Chain Management","Base","Generally Available","Generally Available","J990","","","https://discovery-center.cloud.sap/ai-feature/ec7cf891-7318-4583-8468-64ad23d605e3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Enterprise Architecture Decision Management","Analyze and extract relevant data to generate architecture decisions.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J1684","","","https://discovery-center.cloud.sap/ai-feature/e9e98379-9c5f-4f4a-84f6-12a772c66ae2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Enterprise Search","Search business data with natural language queries in SAP Fiori Launchpad.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J225","","","https://discovery-center.cloud.sap/ai-feature/ce1359ae-1f44-48ce-b9d8-6d2e73b23402/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Entity Extraction","Identify‚ extract‚ and organize relevant data from business-related content.","SAP Service Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J186","","","https://discovery-center.cloud.sap/ai-feature/710cb274-8600-4d6c-850e-0912aab35fda/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Equipment Insights","Generate summary based on previous activities for a piece of equipment.","SAP Field Service Management","Supply Chain Management","Premium","Generally Available","Generally Available","J61","","","https://discovery-center.cloud.sap/ai-feature/ca488cee-68a8-47d4-885f-d778366b42ca/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
